SCAN_NO_TECH	{No scan technology installed}
I receive a decent amount of trade goods.}
TRA_HARV_RES_C_7	{A trade vault opens.

A huge amount of trade goods is made available}
TRA_HARV_DESC_8	{An important message has been received from off-world. A holographic overlay shows various interstellar trade routes, but each one ends abruptly – long before their destination is reached.
 
There are goods waiting in a locked trade vault for transportation. I can select the final destination, or I can select one of points at which a ship has disappeared.}
DNT_TRA_HARV_LANG_8	{Gek Trade Federation warning! Vy'keen hostility? Captain! Complete trade mission, or investigate disappearance?}
TRA_HARV_OPT_A_8	{Select trading destination}
TRA_HARV_OPT_B_8	{Select disappearance location}
TRA_HARV_RES_A_8	{The trade vault unlocks.}
TRA_HARV_RES_B_8	{I receive a ship technology blueprint to aid in my protection.}
TRA_HARV_DESC_9	{This whole facility beams out some kind of suppression field over the planet's surface. It's dampening some unknown form of communication, and clearly seen as a vital and necessary operation by the traders that operate here.

The suppression field is powered by catalytic elements, fed into the system by the unlocked resource vault that's at my feet.}
DNT_TRA_HARV_LANG_9	{Despair! First spawn monolith awake! Unknown culprit! Strengthen suppression field!}
TRA_HARV_OPT_A_9	{Remove catalyst}
TRA_HARV_OPT_B_9	{Add catalyst}
TRA_HARV_RES_A_9	{I take the trade goods.

The suppression field powers down.}
TRA_HARV_RES_B_9	{The suppression field is strengthened.

A message of relief appears on-screen.}
TRA_HARV_DESC_10	{Images of warrior ships fill a transmission that loops on the terminal. They dwarf small trader ships as they pass by, like predatory fish innocuously swimming amongst their prey. There is a definite feeling of tension in the scene.

Trade, storage and resource vaults around me are clearly being used to store different sorts of defensive and offensive devices. The time is perhaps coming when this race of traders will be called upon to fight.}
DNT_TRA_HARV_LANG_10	{Despair! Vy'keen hostility! Treaty breach! Arm yourself! Trade vaults: multi-tool. Storage vaults: technology! Resource vaults: ammunition!}
TRA_HARV_OPT_A_10	{Open Trade vault}
TRA_HARV_OPT_B_10	{Open Storage vault}
TRA_HARV_OPT_C_10	{Open Resource vault}
TRA_HARV_RES_A_10	{I am armed with a new multi-tool.}
TRA_HARV_RES_B_10	{I receive a new multi-tool technology blueprint.}
TRA_HARV_RES_C_10	{I receive ammunition.}
EXP_HARV_DESC_6	{An image of a distant solar system is being studied here. A mineral-rich moon can be seen, orbiting a desolate and toxic-looking planet. Slightly obscured in the background, meanwhile, is a strange dark-coloured smudge – a diamond shape floating in space. A hint of red flashes from its centre.
 
There are no coordinates visible, but I can enhance different parts of the image to study them and automatically upload the terminal's findings.}
DNT_EXP_HARV_LANG_6	{Atlas Interface awakes? Upload research findings immediately entity! Korvax Convergence sends relevant research technology!}
EXP_HARV_OPT_A_6	{Enhance moon image}
EXP_HARV_OPT_B_6	{Enhance planet image}
EXP_HARV_OPT_C_6	{Enhance diamond-shaped structure image}
EXP_HARV_RES_A_6	{My research uploads.

I receive a multi-tool technology blueprint to aid my studies}
EXP_HARV_RES_B_6	{My research uploads.

I receive an exosuit technology blueprint to aid my studies.}
EXP_HARV_RES_C_6	{My research uploads.

I receive a ship technology blueprint to aid my studies.}
EXP_HARV_DESC_7	{An off-world message to all planetary research stations has filled the screen with plans for a scientific expedition of some sort. Complex star charts, fuel requirements, complex communication rigs and plans for orbital experiments fill the screen.

The outpost's resource vault is open to contributions of metals for the cause, while it also appears that the resident scientist could join the fleet... although it would require an upgraded ship.}
DNT_EXP_HARV_LANG_7	{Research entity! Atlas Interface mission begins! Donate contribution! Specialists apply here! Convergence sends specialists ship technology!}
EXP_HARV_OPT_A_7	{Contribute a metal}
EXP_HARV_OPT_B_7	{Join team}
EXP_HARV_RES_A_7	{My contribution is accepted.

Useful knowledge is made available, with thanks.}
EXP_HARV_RES_B_7	{The scientist's application is accepted.

A ship technology blueprint is made available.}
EXP_HARV_DESC_8	{This outpost seems to be a vast library of production knowledge. A vast list of product formulas endlessly scrolls on the terminal, moving so fast that it hurts just to look at them. They appear to be catalogued by their base elements, but any deeper inspection makes me feel nauseous.

The resource vaults next to me are open, and are clearly in regular use.}
DNT_EXP_HARV_LANG_8	{Korvax Convergence product catalogue available. Insert element to filter product catalogue.}
EXP_HARV_OPT_A_8	{Insert catalyst}
EXP_HARV_OPT_B_8	{Insert organic matter}
EXP_HARV_OPT_C_8	{Insert metal}
EXP_HARV_RES_A_8	{The terminal uses the element to isolate and select a reward.}
EXP_HARV_RES_B_8	{The terminal uses the element to isolate an oxide reward.}
EXP_HARV_RES_C_8	{The terminal uses the element to isolate an isotope reward.}
EXP_HARV_DESC_10	{Reams of data are flowing into this terminal from research outposts all over the planet. As well as a storage depot for the planetary products locked away in the vaults beneath my feet, this is a point of transmission.

Knowledge accumulated on this world is being sent up to a scientific flagship hanging in orbit high above my head. I could easily breach the flow to improve my own knowledge, but sharing my own knowledge and discoveries is also an option.}
DNT_EXP_HARV_LANG_10	{Avoid data disruption! Korvax Convergence sends reward for additional data!}
EXP_HARV_OPT_A_10	{Breach data flow}
EXP_HARV_OPT_B_10	{Share knowledge}
EXP_HARV_RES_A_10	{I gain a new technology blueprint.

However, my breach corrupts the overall transfer...}
EXP_HARV_RES_B_10	{The scientists study my offering...

... and thank me with a gift to aid me on my journey.}
EXP_HARV_DESC_12	{A back-up procedure has come to a standstill. The system is archiving a huge amount of language data, but the system has run out of memory to allocate.

I can attach my multi-tool to provide extra space, it would require some variety of metal to re-engage the process...}
DNT_EXP_HARV_LANG_12	{Dialect data process stalled. Metal required to finish process.}
EXP_HARV_OPT_A_12	{Insert common metal}
EXP_HARV_OPT_B_12	{Insert uncommon metal}
EXP_HARV_OPT_C_12	{Insert rare metal}
EXP_HARV_RES_A_12	{The process restarts and provides me with knowledge of the language of the electronic lifeforms.}
EXP_HARV_RES_B_12	{The process continues and improves my knowledge of the language of the electronic lifeforms.}
EXP_HARV_RES_C_12	{The process completes and extends my knowledge of the language of the electronic lifeforms.}
EXP_HARV_DESC_13	{The facility is processing a signal that emanates from a distant location deep in space. Endless processing units are combining to crack the code of a strange mathematical language.

Rare elements are being pulled from the resource vaults at my feet, but some are running low.}
DNT_EXP_HARV_LANG_13	{Atlas Interface signal awakes? Research entity! Insert catalyst constantly! Avoid disruption!}
EXP_HARV_OPT_A_13	{Place metal in the vault}
EXP_HARV_OPT_B_13	{Place catalyst in the vault}
EXP_HARV_OPT_C_13	{Take elements from vault}
EXP_HARV_RES_A_13	{The metals are added to the process.

They make no clear impact.}
EXP_HARV_RES_B_13	{The material fuels the code cracking procedure.

A faint orb glows red on the screen, then slowly fades.}
EXP_HARV_RES_C_13	{I retrieve rare elements...

... but the code-breaking process grinds to a halt.}
TRA_HARV_DESC_11	{A trade vault shakes, and closer inspection reveals that it's full of writhing molluscs. They are pink and slug-like, with sharp bloodied teeth.

A diagram on the screen in front of me suggests that inserting one in or around my face would have some benefits. What isn't specified, however, is which orifice.}
DNT_TRA_HARV_LANG_11	{Rare balarian speech slug distribution point! For insertion in ear! Inedible! Nasal insertion can cause death.}
TRA_HARV_OPT_A_11	{Insert slug in nose}
TRA_HARV_OPT_B_11	{Insert slug in ear}
TRA_HARV_OPT_C_11	{Insert slug in mouth}
TRA_HARV_RES_A_11	{The slug bites flesh from my nose.

The pain is extreme.}
TRA_HARV_RES_B_11	{The slug burrows deep into my ear.

I feel better versed in the language of the traders.}
TRA_HARV_RES_C_11	{I swallow the slug, and wait while it thrashes around in my stomach.

Nothing else of note occurs.}
TRA_HARV_DESC_12	{A strange test is visible on the terminal. I see a holographic image of a shell-wearing creature lying on its back in the bright glare of the sun. Try as it might, it cannot right itself. I can manipulate the scene to indicate what I would do to help.

A resident Trader has left a note for a colleague.}
DNT_TRA_HARV_LANG_12	{Friend! SynthetiGek identification test active! Remember Gek Trader helps customers!}
TRA_HARV_OPT_A_12	{Help creature, then sell it water}
TRA_HARV_OPT_B_12	{Study creature}
TRA_HARV_OPT_C_12	{Use Bypass Chip}
TRA_HARV_RES_A_12	{I pass the test, proving myself as a true trader.

Facility systems are online.}
TRA_HARV_RES_B_12	{I fail the test.

Facility systems are non-operational.}
TRA_HARV_RES_C_12	{The strange test is easily bypassed.

The facility is operational.}
TRA_HARV_DESC_13	{A stash of interesting-looking technology and weaponry has been dragged through this facility and left inside a disposal vault.

The equipment in the pile appears rusted and broken on-screen, but if I were to eject it all out onto the floor of the outpost I'd be able to better investigate. The disposal vault itself, however, has been daubed with a dangerous-looking symbol.}
DNT_TRA_HARV_LANG_13	{Bootleg pirate equipment discovered in cave! Ready for confiscation and incineration!}
TRA_HARV_OPT_A_13	{Incinerate equipment}
TRA_HARV_OPT_B_13	{Remove and examine equipment}
TRA_HARV_RES_A_13	{The equipment is destroyed.

I am thanked for my actions.}
TRA_HARV_RES_B_13	{The equipment spills out onto the floor.
 
I salvage a technology blueprint.}
WAR_HARV_DESC_11	{This is a military terminal, in a facility that seems recently vacated. Three huge databanks have been partially deleted, and will require heightened processing power to restore them. A rare metal would likely do the trick.

Databank alpha bares the emblems of the warrior race, but beta and gamma are otherwise unmarked.}
DNT_WAR_HARV_LANG_11	{Vy'keen covert ops ended. Deleting covert ops language data. Databank alpha: Vy'keen internal security. Databank beta: pathetic Gek. Databank gamma: weak-minded Korvax.}
WAR_HARV_OPT_A_11	{Restore databank alpha}
WAR_HARV_OPT_B_11	{Restore databank beta}
WAR_HARV_OPT_C_11	{Restore databank gamma}
WAR_HARV_RES_A_11	{The revived databank provides more information on the language of the warrior species.}
WAR_HARV_RES_B_11	{The revived databank provides information on the language of a distant trader species.}
WAR_HARV_RES_C_11	{The revived databank provides information on the language of a distant electronic species.}
ALL_HARV_REWARD_1	{The facility is online.

It begins to manufacture trade goods.}
ALL_HARV_REWARD_2	{The facility is online.

It begins to manufacture components.}
ALL_HARV_REWARD_3	{I retrieve a formula from the operational facility.}
ALL_HARV_REWARD_4	{I retrieve a technology blueprint from the outpost.}
ALL_HARV_REWARD_5	{I retrieve an alloy from the facility.}
ALL_HARV_REWARD_6	{I retrieve a helpful product from the installation.}
ALL_HARV_REWARD_7	{I retrieve a strange alien curio from the facility.}
ALL_HARV_REWARD_8	{The facility makes a new multi-tool available.}
ALL_HARV_REWARD_9	{I retrieve a valuable product from the installation.}
ALL_1_RADIO_DESC_1	{Long ago, it seems, an automated distress call went unanswered.

If I can crack the encryption pattern I could potentially extract the coordinates.}
ALL_1_RADIO_DESC_2	{The operations terminal reveals an automated plea for help.

A clear pattern emerges within the white noise hissing from the screen. If I can work out what comes next I could potentially lock down the distressed craft's location.}
ALL_1_RADIO_DESC_3	{The transmission readout suggests that, long ago, a distress signal went unanswered.

A sequence of numbers has been repeating itself for so long that its imprint is burnt into the screen. An input box flashes at me insistently. If I crack the code, I can find the ship.}
ALL_1_RADIO_DESC_4	{A faint, but insistent, bleeping noise can be heard from the operations terminal.

A garbled distress call can be heard amongst it all, alongside screams and the tearing of metal. The only thing that's clear to me is a brief number sequence. Cracking its code could lead me to the crash site.}
ALL_1_RADIO_DESC_5	{A pulsing red light flashes on the console. Below it, a sequence of numbers repeats itself endlessly. It's clearly a distress signal.

It is a cold, empty and distant way of viewing a disaster that, in all likelihood, cost a pilot's life. If I can work out the encryption routine, I could perhaps trace a ship's point of impact.}
ALL_1_RADIO_DESC_6	{An acoustical beacon can be heard through the operations terminal. It repeats at intervals of 16 seconds.

I feel compelled to work out the pattern of its encryption, locate the ship it calls out from... and discover what horror awaits at the crash site.}
ALL_1_RADIO_DESC_7	{The operations terminal flickers on, and a muffled distress call bleeds from the system.

If I can pinpoint its frequency by cracking its encryption I could potentially discover the fate of the poor pilot. The jarring noise of screaming engines and terrified alien chatter I can hear, however, would suggest that it did not end well.}
ALL_1_RADIO_DESC_8	{This operations terminal has been switched off for many years. I boot it up, and it starts running through a vast database of signals silently recorded by the facilities listening devices.

Amidst countless requests for landing permissions and an atonal wall of ship-to-ship chatter, the system suddenly pinpoints an emergency beacon. A distress signal that has never been responded to. If I can isolate the pattern in its encoded frequency, I could perhaps trace the ship that's calling for help.}
